"en","ar"
"Activate","تفعيل"
"Author","كاتب"
"Cancel","إلغاء"
"Character","شخصية"
"Configure","إعداد"
"Close","إغلاق"
"Degrees","درجات"
"Default","إعتيادي"
"Delete","حذف"
"Distance","مسافة"
"Documentation","توثيق"
"Duplicate","استنساخ"
"Error","خطأ"
"Grid Units","وحدات الشبكة"
"Install","تثبيت"
"Elevation","إرتفاع"
"Foundry Virtual Tabletop","Foundry Virtual Tabletop"
"File Path","مسار الملف"
"Height","الارتفاع"
"Hidden","مخفي،"
" Name"," اسم"
"No","لا"
"Notes","ملاحظات"
"Preload","تحميل مسبق"
"Token","رمز"
"Path","مسار"
"Packs","حزمات"
"Permissions","صلاحيات"
"Pixels","بكسلات"
"Ratio","معدل"
"Rotation","دوران"
"Save Changes","حفظ التغييرات"
"Scale","مقياس"
"Sheet","صفحة"
"System","نظام"
"Type","نوع"
"Uninstall","إلغاء التثبيت"
"Update","تحديث"
"URL","عنوان URL"
"Warning","تحذير"
"Width","عرض"
"X-Coordinate","احداثيات X"
"Y-Coordinate","احداثيات Y"
"Yes","نعم"
"Actors Directory","دليل الممثيلن"
"Create Actor","صنع ممثل"
"Search Actors","بحث الممثلين"
"Are you sure you want to exit the Foundry Virtual Tabletop game?","هل أنت متأكد من أنك تريد الخروج من لعبة FoundryVTT؟"
"Clear Chat Log","تفريغ سجل المحادثة"
"Export Chat Log","تصدير سجل المحادثة"
"Flush Chat Log","حذف سجل المحادثة"
"All messages within the chat log will be permanently deleted.","<h3>هل أنت متأكد؟</h3><p dir='rtl'>كل الرسائل في سجل المحادثة سوف تحذف وتفرّغ.</p>"
"{command} is not a valid chat message command.","{command} ليس أمر محادثة صحيح."
"Chat Log","سجل المحادثة"
"To","إلى"
"Pop Out Message","رسالة منبثقة"
"Reveal To Everyone","إظهار للجميع"
"Make Private","جعل خاص"
"Blind GM Roll","رمية منظم لعبة عمياء"
"Default Roll Mode","نمظ الرمي الاعتيادي"
"Public Roll","رمية عامة"
"Private GM Roll","رمية منظم لعبة خاصة"
"Self Roll","رمي ذاتي"
"Rollable Tables","جداول قابلة للرمي"
"Begin Combat","ابدأ القتال"
"Create Encounter","صنع التقاء"
"Delete Encounter","حذف التقاء"
"Encounter","التقاء"
"Activate Previous Encounter","تفعيل التقاء السابق"
"Activate Next Encounter","تفعيل الاتقاء التالي"
"End Combat","انهاء القتال"
"Roll Initiative","رمي المبادرة"
"Reset Initiative","اعادة ضبط المبادرة"
"No Active Encounter","لا يوجد التقاء نشط"
"There is no active Combat Encounter in your currently viewed Scene.","لا يوحد التقاء قتالي نشط في المشهد الظاهر حالياً."
"There are no Combatants remaining in this Encounter which are not defeated.","لا يوجد مقاتلين متبقيين في هذا الالتقاء لم تتم هزيمتهم."
"Not Started","لم يبدأ"
"Tracked Resource","مورد متابع"
"Choose an attribute to track for each combatant.","اختار سمة لمتابعتها لكل مقاتل."
"Round","جولة"
"Rounds","جولات"
"Previous Round","الجولة الماضية"
"Next Round","الجولة التالية"
"Roll NPCs","رمي للشخصيات غير اللاعبة"
"Roll All","رمي للجميع"
"Combat Tracker Settings","إعدادات متابع القتال"
"Save Tracker Settings","حفظ إعدادات المتابع"
"Skip Defeated?","تخطي المهزوم؟"
"Automatically bypass combatants marked as defeated?","تخطي المقاتلين المعلمين بمهزوم تلقائياً؟"
"Toggle Visibility","تبديل الرؤية"
"Mark Defeated","تعليم مهزوم"
"Turn","دور"
"Turns","أدوار"
"End Turn","إنهاء الدور"
"Next Turn","الدور التالي"
"Previous Turn","الدور السابق"
"Unknown Combatant","مقاتل مجهول"
"Create Combatant","صنع مقاتل"
"Defeated","مهزوم"
"Hidden","مخفي"
"Thumbnail Image","صورة مصغرة"
"Initiative Value","قيمة المبادرة"
"Combatant Status","حالة المقاتل"
"Update Combatant","تحديث المقاتل"
"Displayed Name","إظهار الاسم"
"Remove Combatant","إزالة المقاتل"
"Re-roll Initiative","إعادة رمية المبادرة"
"Represented Token","رمز مربوط"
"Compendium Name","اسم الجامع"
"Create Compendium","صنع جامع"
"Create a new Compendium pack in your current World.","صنع رزمة جامع في عالمك الحالي."
"Delete Compendium","حذف الجامع"
"Delete Entry","حذف مدخلة"
"Duplicate Compendium","استنساخ الجامع"
"New Compendium Title","عنوان جامع جديد"
"You may duplicate this compendium into your World to have a local copy of its content which is safe to edit.","يمكنك استنساخ هذا الجامع إلى عالمك لتكون لديك نسخة محلية من محتواها وآمنة للتعديل."
"You must provide a title to create a World Compendium pack.","يجب أن توفر عنواناً لصنع رزمة جامع عالم."
"Import All Content","استيراد جميع المحتويات"
"All of the content from this Compendium pack will be imported into your World to a Folder which you may name.","جميع المحتويات من رزمة الجامع هذا سوف يتم استيرادها إلى عالمك في مجلد تستطيع ان تسميه."
"Importing {number} {type} entries into the {folder} folder. Please be patient.","يتم استيراد {number} {type} مدخلات إلى مجلد {folder}. الرجاء الإنتظار."
"Successfully imported {number} {type} entries into the {folder} folder.","تم استيراد {number} {type} مدخلة بنجاح إلى مجلد {folder}."
"Import Entry","استيراد مدخلة"
"Document Type","نوع المدخلة"
"Each Compendium pack contains a specific type of Document.","كل رزمة جامع تحتوي على نوع معين من المدخلات."
"Toggle Visibility","تبديل الرؤية"
"Toggle Edit Lock","تبديل قفل التعديل"
