"en","ca"
"Activate","Activar"
"Angle","Angle"
"Author","Autor"
"Are You Sure?","Està segur?"
"and","i"
"Between","Entre"
"Cancel","Anul·lar"
"Character","Personatge"
"Configure","Configurar"
"Command","Ordre"
"Close","Tancar"
"Degrees","Graus"
"Default","Per defecte"
"Delete","Esborrar"
"Description","Descripció"
"Distance","Distància"
"Direction","Direcció"
"Documentation","Documentació"
"Duplicate","Duplicar"
"Error","Error"
"Grid Units","Unitats de la graella"
"Install","Instalació"
"Elevation","Elevació"
"Foundry Virtual Tabletop","Foundry Virtual Tabletop"
"File Path","Ruta d'arxiu"
"Height","Alçada"
"Hidden","Ocult"
"Hold","Espera"
" Name"," Nom"
"No","No"
"Notes","Notes"
"Preload","Precarregar"
"Token","Token"
"Minimum","Mínim"
"Maximum","Màxim"
"Image","Imatge"
"None","Cap"
"Path","Ruta"
"Packs","Paquets"
"Permissions","Permisos"
"Position","Posició"
"Pixels","Píxels"
"Ratio","Proporció"
"Resources","Recursos"
"Result","Resultat"
"Rotation","Rotació"
"Roll Formula","Fórmula dels daus"
"Commit Changes","Acceptar els canvis"
"Reset Changes","Anul·lar els canvis"
"Save Changes","Guardar els canvis"
"Scale","Escala"
"Scope","Àmbit"
"Seconds","Segons"
"Sheet","Fitxa"
"System","Sistema"
"Software","Programari"
"Template","Plantilla"
"Type","Tipus"
"Uninstall","Desinstal·lar"
"Update","Actualitzar"
"URL","URL"
"Vision","Visió"
"Warning","Advertència"
"Width","Amplada"
"X-Coordinate","Coordenada X"
"Y-Coordinate","Coordenada Y"
"Yes","Si"
"Actors Directory","Personatges"
"Create Actor","Crear un PJ"
"Search Actors","Cercar personatge"
"Are you sure you want to exit the Foundry Virtual Tabletop game?","Està segur que vol sortir de FoundryVTT?"
"Clear Chat Log","Esborrar el xat"
"Export Chat Log","Exportar el xat"
"Flush Chat Log","Enviar el xat"
"All messages within the chat log will be permanently deleted.","<h3>Està Segur?</h3><p>Tots els missatges del xat seran esborrats.</p>"
"{command} is not a valid chat message command.","{command} no és una ordre vàlida."
"Chat Log","Registre del xat"
"To","Parar"
"Pop Out Message","Obrir el missatge en una finestra emergent"
"Reveal To Everyone","Mostrar a tothom"
"Make Private","Fer el missatge privat"
"Blind GM Roll","Tirada oculta (DJ)"
"Default Roll Mode","Tirada per defecte"
"Public Roll","Tirada pública"
"Private GM Roll","Tirada privada (DJ)"
"Self Roll","Tirada personal"
"Rollable Tables","Taules dinàmiques"
"{user} privately rolled some dice","{user} ha fet una tirada en privat"
"Begin Combat","Començar el combat"
"Create Encounter","Crear un enfrontament"
"Delete Encounter","Esborrar l'enfrontament"
"Encounter","Enfrontament"
"Activate Previous Encounter","Enfrontament previ"
"Activate Next Encounter","Enfrontament següent"
"End Combat","Fi del combat"
"Roll Initiative","tirada d'iniciativa"
"Reset Initiative","Reiniciar la iniciativa"
"End Combat Encounter?","Ha acabat l'enfrontament?"
"End this combat encounter and empty the turn tracker?","Vol finalitzar l'enfrontament i abandonar el seguiment dels torns de combat?"
"No Active Encounter","Sense enfrontament actiu"
"There is no active Combat Encounter in your currently viewed Scene.","No hi ha cap enfrontament de combat actiu en l'escena actual."
"There are no Combatants remaining in this Encounter which are not defeated.","No queden combatents no derrotats en aquest enfrontament."
"Not Started","El combat no ha començat"
"Tracked Resource","Atribut a mostrar:"
"Choose an attribute to track for each combatant.","Tria un atribut per seguir de combatent."
"Round","Torn de combat"
"Rounds","Torns"
"Previous Round","Torn anterior"
"Next Round","Torn següent"
"Roll NPCs","Tirada iniciativa pels PNJ"
"Roll All","Tirada iniciativa per tothom"
"{name} rolls for Initiative!","{name} ha fet la tirada d'iniciativa!"
"Combat Tracker Settings","Opcions de l'assistent de combat"
"Save Tracker Settings","Guardar configuració de l'assistent de combat"
"Skip Defeated?","Ignorar els actors vençuts"
"Automatically bypass combatants marked as defeated?","Ignorar automàticament el torn dels vençuts"
"Toggle Visibility","Alternar visibilitat"
"Mark Defeated","Marcar com a vençut"
"Turn","Torn"
"Turns","Torns"
"End Turn","Finalitzar torn"
"Next Turn","Torn següent"
"Previous Turn","Torn anterior"
"Unknown Combatant","Combatent desconegut"
"Represented Actor","Personatge representat"
"Create Combatant","Crear un combatent"
"Defeated","Vençut"
"Hidden","Ocult"
"Thumbnail Image","Imatge en miniatura"
"Initiative Value","Valor d'iniciativa"
"Combatant Status","Estat del combatent"
"Update Combatant","Actualitzar el combatent"
"Displayed Name","Nom mostrat"
"Remove Combatant","Eliminar el combatent"
"Clear Initiative","Reiniciar la iniciativa"
"Re-roll Initiative","Tornar a tirar la iniciativa"
"Represented Token","Token vinculat"
"The Combatant {name} is not present in your currently viewed Scene","El combatent {name} no és present en l'escena mostrada"
"Compendium Name","Nom del compendi"
"Create Compendium","Crear un compendi"
"Create a new Compendium pack in your current World.","Crea un nou compendi en el món de joc actiu."
"Delete Compendium","Esborrar el compendi"
"This Compendium Pack will be permanently deleted and cannot be recovered.","Aquest compendi s'esborrarà permanentment i no es podrà recuperar."
"Delete Entry","Esborrar l'entrada"
"This Compendium entry and its data will be permanently deleted.","Aquesta entrada de compendi i totes les seves dades s'esborraran permanentment."
"Duplicate Compendium","Duplicar compendi"
"New Compendium Title","Nou títol del compendi"
"You may duplicate this compendium into your World to have a local copy of its content which is safe to edit.","Pots duplicar aquest compendi en el seu món de joc per editar de manera segura una còpia local."
"You must provide a title to create a World Compendium pack.","Has de proporcionar un títol per crear un paquet de compendi en el món."
"Import All Content","Importar tot"
"All of the content from this Compendium pack will be imported into your World to a Folder which you may name.","S'importarà tot el contingut d'aquest paquet de compendi a una carpeta (has d'especificar un nom) del món actual."
"Importing {number} {type} entries into the {folder} folder. Please be patient.","Important {number} entrades de {type} a la carpeta {folder}. Si us plau, esperi."
"Successfully imported {number} {type} entries into the {folder} folder.","S'han importat amb èxit {number} entrades de {type} a la carpeta {folder}."
"Import Entry","Importar una entrada"
"Document Type","Tipus de document"
"Each Compendium pack contains a specific type of Document.","Cada compendi conté documents d'un tipus específic."
"Toggle Visibility","Alternar visibilitat"
"Toggle Edit Lock","Alternar bloqueig d'edició"
"You are attempting to unlock for editing a compendium that does not belong to this World. Any changes you make in this compendium pack may be lost if the system or module which owns it is updated. You may wish to duplicate the compendium to your world instead. Do you wish to proceed?","Està intentant desbloquejar l'edició d'un compendi que no pertany a aquest món de joc. Qualsevol canvi que faci en aquest compendi podria perdre's si s'actualitza el sistema o el mòdul on sigui. Potser prefereix duplicar el compendi en el seu món de joc en el seu lloc. Vol continuar?"
"Game Controls Reference","Controls del joc"
"This form describes common keyboard and mouse commands used to control various aspects of the Foundry Virtual Tabletop environment. Some controls are only available to a Game Master user, those are highlighted in light purple.","Aquest formulari descriu els comandaments principals del teclat i el ratolí utilitzats per controlar diversos aspectes de Foundry Virtual Tabletop."
"Token Controls","Controls dels tokens"
"Select Tokens","Seleccionar tokens"
"Select Targets","Seleccionar objetius"
"Measure Distance","Mesurar distància"
"Measurement Controls","Controls de mesura"
"Template Type","Tipus de mesura"
"Border Color","Color de la vora"
"Configure the placement and display of the measurement template.","Configura la mesura."
"Circle Template","Plantilla cercle"
"Cone Template","Plantilla con"
"Rectangle Template","Plantilla rectangle"
"Ray Template","Plantilla línia"
"Clear Templates","Esborrar els mesuraments"
"Template Texture","Textura de la plantilla"
"Tile Controls","Controls de rajoles"
"Select Tiles","Seleccionar rajoles"
"Place Tile","Col·locar rajoles"
"Foreground Layer","Capa de primer pla"
"Tile Browser","Biblioteca de rajoles"
"Drawing Tools","Eines de dibuix"
"Select Drawings","Seleccionar dibuixos"
"Draw Rectangle","Rectangle"
"Draw Ellipse","El·lipse"
"Draw Polygon","Polígon"
"Draw Freehand","Ma alçada"
"Draw Text","text"
"Clear Drawings","Esborrar dibuixos"
"Configure Drawing","Opcions de dibuix"
"Wall Controls","Controls de mur"
"Draw Walls","Mur normal"
"Invisible Walls","Mur invisible"
"Terrain Walls","Mur de terreny"
"Ethereal Walls","Mur eteri"
"Draw Doors","Porta normal"
"Secret Doors","Porta secreta"
"Rectangular Select Walls","Seleccionar mur"
"Force Snap to Grid","Forçar Ajust a graella"
