"en","ko"
"Activate","활성화"
"Author","저자"
"Cancel","취소"
"Character","캐릭터"
"Configure","설정"
"Close","닫기"
"Degrees","°"
"Default","기본값"
"Delete","삭제"
"Distance","거리 단위"
"Documentation","문서"
"Duplicate","복제"
"Error","오류"
"Grid Units","격자 칸"
"Install","설치"
"Elevation","고도"
"Foundry Virtual Tabletop","파운드리 버추얼 테이블탑"
"File Path","파일 경로"
"Height","높이"
"Hidden","숨겨짐,"
" Name","이름"
"No","아니오"
"Notes","노트"
"Preload","미리 불러오기"
"Token","토큰"
"Path","경로"
"Packs","팩"
"Permissions","권한"
"Pixels","픽셀"
"Ratio","비율"
"Rotation","회전"
"Save Changes","변경 내용 저장"
"Scale","배율"
"Sheet","시트"
"System","시스템"
"Type","타입"
"Uninstall","제거"
"Update","업데이트"
"URL","URL"
"Warning","경고"
"Width","너비"
"X-Coordinate","X 좌표"
"Y-Coordinate","Y 좌표"
"Yes","예"
"Actors Directory","액터 디렉토리"
"Create Actor","액터 생성"
"Search Actors","액터 검색"
"Clear Chat Log","대화 기록 삭제"
"Export Chat Log","대화 기록 내보내기"
"Flush Chat Log","대화 기록 일괄 삭제"
"All messages within the chat log will be permanently deleted.","<h3>정말 삭제하시겠습니까?</h3><p>대화 기록에 있는 모든 메시지가 삭제됩니다.</p>"
"{command} is not a valid chat message command.","{command} 은 유효한 대화 메시지 명령이 아닙니다."
"Chat Log","대화 기록"
"To","To"
"Reveal To Everyone","모두에게 공개"
"Blind GM Roll","결과 숨김 굴림 (GM만 볼 수 있음)"
"Default Roll Mode","기본 굴림 모드 (시트 굴림에 적용)"
"Public Roll","공개 굴림"
"Private GM Roll","비공개 굴림 (나와 GM만 볼 수 있음)"
"Self Roll","비공개 굴림 (나만 볼 수 있음)"
"Rollable Tables","굴림표"
"Begin Combat","전투 개시"
"Create Encounter","인카운터 생성"
"Delete Encounter","인카운터 삭제"
"Encounter","인카운터"
"Activate Previous Encounter","이전 인카운터 활성화"
"Activate Next Encounter","다음 인카운터 활성화"
"End Combat","전투 종료"
"Roll Initiative","우선권 굴림"
"Reset Initiative","우선권 초기화"
"No Active Encounter","활성 인카운터 없음"
"There is no active Combat Encounter in your currently viewed Scene.","현재 씬에 활성화된 전투 인카운터가 없습니다."
"There are no Combatants remaining in this Encounter which are not defeated.","이 인카운터에 쓰러지지 않은 전투원이 남아있지 않습니다."
"Not Started","시작되지 않음"
"Tracked Resource","표시할 자원"
"Choose an attribute to track for each combatant.","각 전투원으로부터 표시할 어트리뷰트를 선택합니다."
"Round","전투 라운드"
"Previous Round","이전 라운드"
"Next Round","다음 라운드"
"Roll NPCs","NPC 우선권 굴리기"
"Roll All","모든 우선권 굴리기"
"Combat Tracker Settings","전투 트래커 설정"
"Save Tracker Settings","트래커 설정 저장"
"Skip Defeated?","쓰러진 전투원 건너뛰기"
"Automatically bypass combatants marked as defeated?","쓰러진 것으로 표시된 전투원의 턴을 자동으로 건너뜁니다."
"Toggle Visibility","숨기기/보이기 전환"
"Mark Defeated","쓰러진 것으로 표시"
"End Turn","턴 종료"
"Next Turn","다음 턴"
"Previous Turn","이전 턴"
"Compendium Name","컴펜디움 명칭"
"Create Compendium","컴펜디움 생성"
"Create a new Compendium pack in your current World.","현재 월드에 새 컴펜디움 팩을 생성합니다."
"Delete Compendium","컴펜디움 삭제"
"Duplicate Compendium","컴펜디움 복제"
"New Compendium Title","새 컴펜디움 제목"
"You may duplicate this compendium into your World to have a local copy of its content which is safe to edit.","현재 월드에 이 컴펜디움의 편집 가능한 사본을 만들 수 있습니다."
"Import All Content","모든 컨텐츠 불러오기"
"All of the content from this Compendium pack will be imported into your World to a Folder which you may name.","이 컴펜디움 팩에 있는 모든 컨텐츠를 현재 월드의 지정한 폴더에 불러옵니다."
