"en","zh-tw"
"Activate","啓動"
"Angle","角度"
"Author","作者"
"Are You Sure?","你確定嗎？"
"and","及"
"Between","範圍："
"Cancel","取消"
"Character","角色"
"Configure","設定"
"Command","指令"
"Close","關閉"
"Degrees","角度"
"Default","預設"
"Delete","删除"
"Description","描述"
"Distance","距離"
"Direction","方向"
"Documentation","文件"
"Duplicate","複製"
"Error","錯誤"
"Grid Units","單位"
"Install","安裝"
"Elevation","高度"
"Foundry Virtual Tabletop","Foundry Virtual Tabletop"
"File Path","檔案位置"
"Height","高度"
"Hidden","隱藏，"
"Hold","抓住"
" Name"," 名稱"
"No","否"
"Notes","筆記"
"Preload","預載"
"Token","Token"
"Minimum","最小值"
"Maximum","最大值"
"Image","圖片"
"None","沒有"
"Path","位置"
"Packs","包"
"Permissions","許可"
"Position","位置"
"Pixels","像素"
"Ratio","比率"
"Resources","資源"
"Result","結果"
"Rotation","旋轉"
"Roll Formula","擲骰公式"
"Commit Changes","提交變更"
"Reset Changes","還原變更"
"Save Changes","儲存變更"
"Scale","比例"
"Scope","範圍"
"Seconds","秒"
"Sheet","卡範本"
"System","系統"
"Software","軟件"
"Template","模板"
"Type","類型"
"Uninstall","移除"
"Update","更新"
"URL","URL"
"Vision","視角"
"Warning","警告"
"Width","寬度"
"X-Coordinate","X坐標"
"Y-Coordinate","Y坐標"
"Yes","是"
"Actors Directory","角色目錄"
"Create Actor","新增角色"
"Search Actors","搜尋角色"
"Are you sure you want to exit the Foundry Virtual Tabletop game?","你確定想要退出Foundry Virtual Tabletop嗎？"
"Clear Chat Log","清除記錄"
"Export Chat Log","導出記錄"
"Flush Chat Log","對齊聊天記錄"
"All messages within the chat log will be permanently deleted.","<h3>確定嗎？</h3><p>所有聊天記錄都會被清除。</p>"
"{command} is not a valid chat message command.","{command}不是正確的聊天指令。"
"Chat Log","聊天記錄"
"To","對"
"Pop Out Message","彈出信息"
"Reveal To Everyone","所有人可見"
"Make Private","改爲非公開"
"Blind GM Roll","僅GM"
"Default Roll Mode","預設"
"Public Roll","公開"
"Private GM Roll","非公開"
"Self Roll","僅自己"
"Rollable Tables","隨機表"
