"en","zh"
"Activate","激活"
"Author","作者"
"Cancel","取消"
"Character","角色"
"Configure","设置"
"Close","关闭"
"Degrees","角度"
"Default","默认"
"Delete","删除"
"Distance","距离"
"Documentation","文档"
"Duplicate","复制"
"Error","错误"
"Grid Units","单位"
"Install","安装"
"Elevation","高度"
"Foundry Virtual Tabletop","Foundry Virtual Tabletop"
"File Path","文件路径"
"Height","高度"
"Hidden","隐藏,"
" Name"," 名称"
"No","否"
"Notes","注释"
"Preload","预载"
"Token","指示物"
"Path","路径"
"Packs","包"
"Permissions","许可"
"Pixels","像素"
"Ratio","比率"
"Rotation","旋转"
"Save Changes","保存更改"
"Scale","比例"
"Sheet","人物卡"
"System","系统"
"Type","类型"
"Uninstall","卸载"
"Update","更新"
"URL","URL"
"Warning","警告"
"Width","宽度"
"X-Coordinate","X坐标"
"Y-Coordinate","Y坐标"
"Yes","是"
"Actors Directory","角色目录"
"Create Actor","创建角色"
"Search Actors","搜索角色"
"Are you sure you want to exit the Foundry Virtual Tabletop game?","你确定要离开FVTT游戏吗？"
"Clear Chat Log","清除记录"
"Export Chat Log","导出记录"
"Flush Chat Log","对齐聊天记录"
"All messages within the chat log will be permanently deleted.","<h3>确定吗？</h3><p>所有聊天记录都会被清除。</p>"
"{command} is not a valid chat message command.","{command} 不是正确的聊天指令。"
"Chat Log","聊天记录"
"To","对"
"Pop Out Message","弹出消息"
"Reveal To Everyone","发送所有人"
"Make Private","设为私人"
"Blind GM Roll","仅GM"
"Default Roll Mode","默认掷骰模式"
"Public Roll","公开"
"Private GM Roll","非公开"
"Self Roll","仅自己"
"Rollable Tables","随机表"
"Begin Combat","开始战斗"
"Create Encounter","创建战斗遭遇"
"Delete Encounter","删除战斗遭遇"
"Encounter","战斗遭遇"
"Activate Previous Encounter","激活上个遭遇"
"Activate Next Encounter","激活下个遭遇"
"End Combat","结束战斗"
"Roll Initiative","投先攻"
"Reset Initiative","重置先攻"
"No Active Encounter","无激活遭遇"
"There is no active Combat Encounter in your currently viewed Scene.","当先场景中没有激活的战斗单位。"
"There are no Combatants remaining in this Encounter which are not defeated.","这次战斗中没有剩下没有战败的战斗单位。"
"Not Started","未开始"
"Tracked Resource","资源追踪"
"Choose an attribute to track for each combatant.","选择一个属性，追踪所有战斗单位的此属性。"
"Round","战斗轮"
"Rounds","战斗轮"
"Previous Round","上一轮"
"Next Round","下一轮"
"Roll NPCs","NPC投先攻"
"Roll All","全体投先攻"
"Combat Tracker Settings","战斗追踪器设置"
"Save Tracker Settings","保存战斗追踪器设置"
"Skip Defeated?","忽略战败"
"Automatically bypass combatants marked as defeated?","自动忽略标记为战败的战斗单位。"
"Toggle Visibility","切换可见性"
"Mark Defeated","标记战败"
"Turn","回合"
"Turns","回合"
"End Turn","结束回合"
"Next Turn","下一回合"
"Previous Turn","上一回合"
"Unknown Combatant","不明战斗单位"
"Create Combatant","创建战斗单位"
"Defeated","战败"
"Hidden","隐藏"
"Thumbnail Image","缩略图"
"Initiative Value","先攻值"
"Combatant Status","战斗单位状态"
"Update Combatant","更新战斗单位"
"Displayed Name","显示名称"
"Remove Combatant","移除战斗单位"
"Re-roll Initiative","重掷先攻"
"Represented Token","关联指示物"
"Compendium Name","合集名"
"Create Compendium","创建合集"
"Create a new Compendium pack in your current World.","在当前世界中创建一个新的合集包。"
"Delete Compendium","删除合集"
"Delete Entry","删除实体"
"Duplicate Compendium","复制合集"
"New Compendium Title","新合集名称"
"You may duplicate this compendium into your World to have a local copy of its content which is safe to edit.","你可以将此合集作为一个本地拷贝复制到你的世界。"
"You must provide a title to create a World Compendium pack.","你必须提供一个标题以创建世界合集包。"
"Import All Content","导入所有内容"
"All of the content from this Compendium pack will be imported into your World to a Folder which you may name.","该合集包中的所有内容都将导入一个你世界中的文件夹（可重命名）。"
